"resource","time","server","queue","capacity","queue_size","system","limit","replication"
"doctor",267.709935006392,3,4,3,Inf,7,Inf,1
"doctor",270.090816105934,3,3,3,Inf,6,Inf,1
"doctor",271.940456523056,3,4,3,Inf,7,Inf,1
"doctor",276.155674414377,3,5,3,Inf,8,Inf,1
"doctor",277.899438295182,3,6,3,Inf,9,Inf,1
"doctor",279.408209016305,3,5,3,Inf,8,Inf,1
"doctor",282.549886318446,3,4,3,Inf,7,Inf,1
"doctor",284.104174887093,3,3,3,Inf,6,Inf,1
"doctor",294.388562294414,3,4,3,Inf,7,Inf,1
"doctor",294.543299230062,3,3,3,Inf,6,Inf,1
"doctor",295.040658386133,3,2,3,Inf,5,Inf,1
"doctor",296.767357058905,3,3,3,Inf,6,Inf,1
"doctor",298.74997300756,3,4,3,Inf,7,Inf,1
"doctor",300.234768811979,3,5,3,Inf,8,Inf,1
"doctor",300.655572484147,3,6,3,Inf,9,Inf,1
"doctor",301.922685025218,3,5,3,Inf,8,Inf,1
"doctor",305.305182004107,3,4,3,Inf,7,Inf,1
"doctor",307.790293714873,3,3,3,Inf,6,Inf,1
"doctor",311.578427720913,3,2,3,Inf,5,Inf,1
"doctor",314.389088044298,3,1,3,Inf,4,Inf,1
"doctor",315.422577070342,3,2,3,Inf,5,Inf,1
"doctor",320.909344229785,3,1,3,Inf,4,Inf,1
"doctor",321.336759240019,3,0,3,Inf,3,Inf,1
"doctor",321.867109466404,3,1,3,Inf,4,Inf,1
"doctor",325.338155099191,3,0,3,Inf,3,Inf,1
"doctor",329.725739904123,3,1,3,Inf,4,Inf,1
"doctor",337.390694175617,3,0,3,Inf,3,Inf,1
"doctor",338.379644131243,3,1,3,Inf,4,Inf,1
"doctor",338.697760807326,3,0,3,Inf,3,Inf,1
"doctor",341.436345423973,3,1,3,Inf,4,Inf,1
"doctor",341.600794366497,3,2,3,Inf,5,Inf,1
"doctor",342.365984579484,3,3,3,Inf,6,Inf,1
"doctor",345.936104402139,3,2,3,Inf,5,Inf,1
"doctor",347.558344600448,3,3,3,Inf,6,Inf,1
"doctor",347.586475056788,3,4,3,Inf,7,Inf,1
"doctor",347.608311909935,3,5,3,Inf,8,Inf,1
"doctor",349.335034808859,3,4,3,Inf,7,Inf,1
"doctor",353.923323570926,3,3,3,Inf,6,Inf,1
"doctor",356.108232715431,3,4,3,Inf,7,Inf,1
"doctor",357.267254891594,3,3,3,Inf,6,Inf,1
"doctor",366.177964844064,3,2,3,Inf,5,Inf,1
"doctor",367.456201488718,3,3,3,Inf,6,Inf,1
"doctor",372.127587475773,3,2,3,Inf,5,Inf,1
"doctor",374.588542358421,3,3,3,Inf,6,Inf,1
"doctor",375.044237845884,3,2,3,Inf,5,Inf,1
"doctor",379.282372008507,3,1,3,Inf,4,Inf,1
"doctor",379.778429257699,3,0,3,Inf,3,Inf,1
"doctor",383.357412709732,2,0,3,Inf,2,Inf,1
"doctor",389.483380355405,3,0,3,Inf,3,Inf,1
"doctor",397.607430227101,2,0,3,Inf,2,Inf,1
"doctor",397.768728663883,1,0,3,Inf,1,Inf,1
"doctor",398.910557595633,0,0,3,Inf,0,Inf,1
"doctor",403.168559660969,1,0,3,Inf,1,Inf,1
"doctor",406.014312326276,2,0,3,Inf,2,Inf,1
"doctor",408.308218845466,3,0,3,Inf,3,Inf,1
"doctor",408.883293648506,2,0,3,Inf,2,Inf,1
"doctor",413.922031799134,1,0,3,Inf,1,Inf,1
"doctor",416.505164706028,2,0,3,Inf,2,Inf,1
"doctor",420.617214092748,1,0,3,Inf,1,Inf,1
"doctor",421.321106648554,2,0,3,Inf,2,Inf,1
"doctor",423.942626568523,1,0,3,Inf,1,Inf,1
"doctor",424.34922937771,2,0,3,Inf,2,Inf,1
"doctor",429.89468733295,3,0,3,Inf,3,Inf,1
"doctor",434.278332343852,3,1,3,Inf,4,Inf,1
"doctor",438.899303966747,3,0,3,Inf,3,Inf,1
"doctor",439.620905037725,2,0,3,Inf,2,Inf,1
"doctor",443.231057376387,1,0,3,Inf,1,Inf,1
"doctor",445.753973033094,0,0,3,Inf,0,Inf,1
"doctor",447.980075109646,1,0,3,Inf,1,Inf,1
"doctor",459.215246961162,0,0,3,Inf,0,Inf,1
"doctor",462.422987374465,1,0,3,Inf,1,Inf,1
"doctor",463.595340070768,2,0,3,Inf,2,Inf,1
"doctor",466.935883162531,3,0,3,Inf,3,Inf,1
"doctor",468.909620824723,3,1,3,Inf,4,Inf,1
"doctor",469.323446257666,3,2,3,Inf,5,Inf,1
"doctor",473.093189603786,3,1,3,Inf,4,Inf,1
"doctor",474.570407891015,3,0,3,Inf,3,Inf,1
"doctor",477.537984782132,3,1,3,Inf,4,Inf,1
